"date","close","open","high","low","volume","change"
"09/06/2022","4.051,00","4.005,00","4.005,00","3.980,00","0,53K","-0,04"
"08/06/2022","4.052,50","4.001,50","4.005,00","3.988,80","0,58K","0,04"
"07/06/2022","4.050,75","4.002,00","4.002,00","3.985,00","0,74K","-0,01"
"06/06/2022","4.051,00","3.988,84","4.002,00","3.987,00","0,54K","0,00"
"03/06/2022","4.051,00","3.995,00","4.002,00","3.988,84","1,08K","0,09"
"02/06/2022","4.047,50","3.990,00","3.995,00","3.985,00","1,07K","0,06"
"01/06/2022","4.045,00","3.995,00","3.995,00","3.983,00","1,08K","-0,06"
"31/05/2022","4.047,50","4.045,00","4.047,50","3.990,13","0,79K","0,06"
"30/05/2022","4.045,00","4.044,50","4.045,00","3.988,84","0,50K","0,01"
"27/05/2022","4.044,50","4.042,50","4.044,50","3.984,08","0,67K","1,15"
"26/05/2022","3.998,58","4.042,50","4.042,50","3.985,00","1,06K","-1,09"
"25/05/2022","4.042,50","4.040,50","4.042,50","3.984,08","1,13K","0,05"
"24/05/2022","4.040,50","4.042,00","4.042,00","3.987,50","1,09K","-0,04"
"23/05/2022","4.042,00","4.042,50","4.042,50","3.983,00","0,75K","-0,01"
"20/05/2022","4.042,50","4.044,75","4.044,75","3.987,48","0,89K","-0,06"
"19/05/2022","4.044,75","4.044,50","4.044,75","3.988,32","1,02K","1,01"
"18/05/2022","4.004,50","4.044,50","4.045,00","3.988,32","1,02K","-0,99"
"17/05/2022","4.044,50","4.046,50","4.046,50","3.991,67","0,73K","-0,05"
"16/05/2022","4.046,50","4.004,58","4.046,50","3.991,91","0,25K","0,11"
"13/05/2022","4.042,00","4.046,50","4.046,50","3.988,45","1,06K","-0,11"
"12/05/2022","4.046,50","4.040,00","4.046,50","3.988,45","1,04K","0,16"
"11/05/2022","4.040,00","4.045,00","4.045,00","3.988,45","1,09K","-0,12"
"10/05/2022","4.045,00","4.043,50","4.045,75","3.990,62","1,11K","0,04"
"09/05/2022","4.043,50","4.044,00","4.044,00","3.989,84","0,76K","-0,01"
"06/05/2022","4.044,00","4.042,75","4.044,00","3.981,00","0,57K","0,98"
"05/05/2022","4.004,58","4.028,00","4.042,75","3.987,59","0,56K","-0,58"
"04/05/2022","4.028,00","4.042,50","4.044,50","3.991,69","0,68K","-0,36"
"03/05/2022","4.042,50","4.043,50","4.045,00","3.990,08","1,04K","0,95"
"02/05/2022","4.004,58","4.043,50","4.043,50","3.997,50","0,67K","-0,96"
"29/04/2022","4.043,50","4.042,50","4.043,50","3.990,08","1,05K","0,94"
"28/04/2022","4.005,75","4.042,50","4.045,00","3.991,25","0,99K","-0,91"
"27/04/2022","4.042,50","4.040,00","4.042,74","3.990,28","1,00K","0,93"
"26/04/2022","4.005,40","4.040,00","4.040,00","3.989,76","0,46K","-0,86"
"25/04/2022","4.040,00","4.005,40","4.042,50","3.989,76","0,25K","-0,02"
"22/04/2022","4.040,71","4.042,50","4.042,50","3.988,16","1,00K","0,88"
"21/04/2022","4.005,66","4.042,50","4.042,50","3.988,16","1,01K","0,00"
"20/04/2022","4.005,66","4.042,50","4.042,50","3.988,73","1,05K","-0,91"
"19/04/2022","4.042,50","4.040,00","4.045,74","3.989,97","1,11K","0,04"
"18/04/2022","4.040,98","4.040,00","4.044,24","4.000,00","0,58K","0,02"
"15/04/2022","4.040,00","4.044,00","4.044,00","4.000,00","1,11K","-0,10"
"14/04/2022","4.044,00","4.040,00","4.044,25","3.989,09","1,05K","0,10"
"13/04/2022","4.040,00","4.043,75","4.043,75","3.989,51","1,05K","-0,09"
